[2025-04-23 19:28:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.220.220: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.220.220: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 172.16.9.35:56050 -> 40.71.11.167:443 | Possível FIN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 208.67.220.220: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:udp:dns 208.67.220.220: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 172.16.9.35:49818 -> 40.71.11.167:443 | Possível SYN
[2025-04-23 19:28:45] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:49818 | Possível SYN
[2025-04-23 19:28:48] eth:ethertype:ip:tcp 172.16.9.35:46484 -> 20.42.73.28:443 | Possível SYN
[2025-04-23 19:28:48] eth:ethertype:ip:tcp 20.42.73.28:443 -> 172.16.9.35:46484 | Possível SYN
[2025-04-23 19:28:49] eth:ethertype:ip:tcp 172.16.9.35:43258 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:28:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:39:35] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:37] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:38] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:39] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:40] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:5405 | Possível SYN
[2025-04-23 19:39:46] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:47] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:48] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:48] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:39:48] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:39:50] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:51] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:52] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:53] eth:ethertype:ip:tcp 172.16.9.35:48072 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:39:53] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:48072 | Possível SYN
[2025-04-23 19:39:53] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:1106 | Possível SYN
[2025-04-23 19:39:55] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:57] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:57] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:39:58] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:59] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:39:59] eth:ethertype:ip:tcp 172.16.9.35:44934 -> 20.201.28.151:443 | Possível SYN
[2025-04-23 19:39:59] eth:ethertype:ip:tcp 20.201.28.151:443 -> 172.16.9.35:44934 | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:tcp 172.16.9.35:44934 -> 20.201.28.151:443 | Possível FIN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:40:00] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:40:01] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:40:02] eth:ethertype:ip:tcp 172.16.9.35:55826 -> 20.189.173.26:443 | Possível SYN
[2025-04-23 19:40:03] eth:ethertype:ip:tcp 20.189.173.26:443 -> 172.16.9.35:55826 | Possível SYN
[2025-04-23 19:40:03] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:25734 | Possível SYN
[2025-04-23 19:40:05] eth:ethertype:ip:tcp 172.16.9.35:33122 -> 52.182.143.210:443 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 52.182.143.210:443 -> 172.16.9.35:33122 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 172.16.9.35:49460 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 172.16.9.35:33122 -> 52.182.143.210:443 | Possível FIN
[2025-04-23 19:40:06] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:49460 | Possível SYN
[2025-04-23 19:40:07] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:08] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:40:09] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:10] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:10] eth:ethertype:ip:tcp 172.16.9.35:37058 -> 20.189.173.11:443 | Possível SYN
[2025-04-23 19:40:10] eth:ethertype:ip:tcp 20.189.173.11:443 -> 172.16.9.35:37058 | Possível SYN
[2025-04-23 19:40:11] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:11] eth:ethertype:ip:tcp 172.16.9.35:37058 -> 20.189.173.11:443 | Possível FIN
[2025-04-23 19:40:13] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:13] eth:ethertype:ip:tcp 172.16.9.35:49460 -> 13.107.246.34:443 | Possível FIN
[2025-04-23 19:40:13] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:49460 | Possível FIN
[2025-04-23 19:40:14] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:65000 | Possível SYN
[2025-04-23 19:40:15] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:17] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:18] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:40:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:40:19] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:20] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:21] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:23] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:11967 | Possível SYN
[2025-04-23 19:40:34] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:35] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:35] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:40:36] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:37] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:38] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:40] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:41] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:49163 | Possível SYN
[2025-04-23 19:40:44] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:45] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:47] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:48] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:49] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:40:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:40:50] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:6000 | Possível SYN
[2025-04-23 19:40:51] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:52] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:54] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:54] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:40:55] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:56] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:57] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:40:58] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:2033 | Possível SYN
[2025-04-23 19:41:07] eth:ethertype:ip:tcp 172.16.9.35:48180 -> 89.58.44.75:443 | Possível SYN
[2025-04-23 19:41:07] eth:ethertype:ip:tcp 89.58.44.75:443 -> 172.16.9.35:48180 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 172.16.9.35:45868 -> 13.107.246.34:443 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:45868 | Possível SYN
[2025-04-23 19:41:08] eth:ethertype:ip : -> : | Possível MALFORMED
[2025-04-23 19:41:08] eth:ethertype:ip:tcp 172.16.9.35:50592 -> 13.107.246.33:443 | Possível SYN
